ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,HALOGEN
GAL722023,CC1(C)C(C)C(C)(C)c2c1cc1C(C)COCc1c2,QuimfraganDB,1,0,4.5251999,9.2299995,258.405,0.66666669,19,3,1,0,1,1,1,0,1,0,6,0,0,0,0,0,0,1,0.0,2,0
TON722023,O=C(C)c1c(C)cc2C(C)(C)C(C)CC(C)(C)c2c1,QuimfraganDB,1,0,4.7926202,17.07,258.405,0.6111111,19,2,1,1,1,0,1,0,1,0,6,0,0,0,0,0,0,1,0.050000001,1,0
PHA722023,O=C(C)c1c(C)cc2C(C)(C)C(C)C(C)(C)c2c1,QuimfraganDB,1,0,4.4025202,17.07,244.37801,0.58823532,18,2,1,1,1,0,1,0,1,0,6,0,0,0,0,0,0,1,0.052631579,1,0
CEL722023,O=C(C)c1c2c(C(C)(C)CC2)cc(C(C)(C)C)c1,QuimfraganDB,1,0,4.4105,17.07,244.37801,0.58823532,18,2,1,1,1,0,1,0,1,0,6,0,0,0,0,0,0,1,0.10526316,0,0
PHE642023,NC(C)c1ccccc1,QuimfraganDB,1,1,1.7063,26.02,121.183,0.25,9,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0.11111111,1,0
MET642023,O=C(OC)CCCC,QuimfraganDB,2,0,1.3496,26.299999,116.16,0.83333331,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5714286,0,0
ETH642023,O=C(OCC)C(=CC)C,QuimfraganDB,2,0,1.5157,26.299999,128.17101,0.5714286,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.375,0,0
HEX642023,O=CCCCCC,QuimfraganDB,1,0,1.7656,17.07,100.161,0.83333331,7,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.66666669,0,0
BEN642023,O=Cc1ccccc1,QuimfraganDB,1,0,1.4991,17.07,106.124,0.0,8,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.125,0,0
ISO822023,O=C(OCCC(C)C)C,QuimfraganDB,2,0,1.5956,26.299999,130.187,0.85714287,9,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0
HEP822023,O=C(CCCCC)C,QuimfraganDB,1,0,2.1557,17.07,114.188,0.85714287,8,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5714286,0,0
CIT192023,OCC[C@@](CCC=C(C)C)C,QuimfraganDB,1,1,2.7513001,20.23,156.269,0.80000001,11,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0
HEX192023,OCCCCCC,QuimfraganDB,1,1,1.559,20.23,102.177,1.0,7,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.66666669,0,0
GER192023,OC/C=C(/CCC=C(C)C)\C,QuimfraganDB,1,1,2.6714001,20.23,154.25301,0.60000002,11,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.40000001,0,0
ETI192023,O=C(OCC)CCC,QuimfraganDB,2,0,1.3496,26.299999,116.16,0.83333331,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5714286,0,0
EUG622023,O(C)c1c(O)ccc(CC=C)c1,QuimfraganDB,2,1,2.1293001,29.459999,164.20399,0.2,12,1,2,3,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.25,0,0
NOO152023,O=C1C[C@@](C)[C@@]2(C)C(=CC[C@@](C(=C)C)C2)C1,QuimfraganDB,1,0,3.9042001,17.07,218.34,0.66666669,16,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05882353,3,0
OCT152023,O=C(O)CCCCCCC,QuimfraganDB,1,1,2.4315,37.299999,144.214,0.875,10,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.66666669,0,0
VAN092023,O=C(O)c1cc(OC)c(O)cc1,QuimfraganDB,3,2,1.099,66.760002,168.14799,0.125,12,1,4,2,0,0,1,0,1,0,6,0,0,0,0,0,0,4,0.16666667,0,0
PRE092023,O=C(OCC=C(C)C)C,QuimfraganDB,2,0,1.5157,26.299999,128.17101,0.5714286,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.375,0,0
HEP092023,O=C(O)CCCCCC,QuimfraganDB,1,1,2.0414,37.299999,130.187,0.85714287,9,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.625,0,0
FEN092023,O=C1C(C)(C)C2CC1(C)CC2,QuimfraganDB,1,0,2.4017,17.07,152.237,0.89999998,11,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2,0
DEC092023,O=C(O)CCCCCCCCC,QuimfraganDB,1,1,3.2117,37.299999,172.26801,0.89999998,12,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.72727275,0,0
COU092023,Oc1oc2c(c1)cccc2,QuimfraganDB,2,1,2.1384001,33.369999,134.134,0.0,10,2,2,0,0,0,1,1,2,0,9,0,0,0,0,0,0,2,0.0,0,0
HEX092023,O=C(O)CCCCC,QuimfraganDB,1,1,1.6513,37.299999,116.16,0.83333331,8,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5714286,0,0
2BRO092023,BrC(C(=O)O)CCCCCC,QuimfraganDB,1,1,2.8048999,37.299999,223.11,0.875,11,0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.60000002,1,1
NON092023,O=CCCCCCCCC,QuimfraganDB,1,0,2.9359,17.07,142.242,0.8888889,10,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.77777779,0,0
OCT092023,O=CCCCCCCC,QuimfraganDB,1,0,2.5458,17.07,128.215,0.875,9,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0,0
6BRO092023,BrCCCCCC(=O)O,QuimfraganDB,1,1,2.0263,37.299999,195.056,0.83333331,9,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.625,0,1
HEP2092023,O=CCCCCCC,QuimfraganDB,1,0,2.1557,17.07,114.188,0.85714287,8,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.71428573,0,0
TRA092023,O=C/C(=C/C)/C,QuimfraganDB,1,0,1.1515,17.07,84.117996,0.40000001,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0
CYC092023,O=C(O)C1CCC1,QuimfraganDB,1,1,0.87110001,37.299999,100.117,0.80000001,7,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.14285715,0,0
PEN092023,O=C(O)CCCC,QuimfraganDB,1,1,1.2612,37.299999,102.133,0.80000001,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0
BEN092023,O=C(c1ccccc1)c1ccccc1,QuimfraganDB,1,0,2.9175999,17.07,182.222,0.0,14,2,1,2,0,0,2,0,2,0,12,0,0,0,0,0,0,1,0.13333334,0,0
